param_type,evidence_distance,evidence_distance_label,relation,engagement_model,model_strength,engagement_model_note,param_type_note
Kd,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,binding_occupancy,4,"fractional occupancy of the binding site, from a Kd/Ki measured on this compound at this receptor in this species (evidence distance E0): a physical occupancy claim about the modelled receptor","equilibrium dissociation constant from a binding assay; C^n/(Kd^n+C^n) is physical fractional occupancy OF THE RECEPTOR IT WAS MEASURED ON, so it is an occupancy of the modelled target only at evidence distance E0"
Kd,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,binding_engagement_proxy,3,"engagement proxy derived from a binding constant (Kd/Ki) measured at evidence distance E1/E2 -- another species, or a related preparation: the same Hill expression, but it is NOT fractional receptor occupancy of the modelled target","equilibrium dissociation constant from a binding assay; C^n/(Kd^n+C^n) is physical fractional occupancy OF THE RECEPTOR IT WAS MEASURED ON, so it is an occupancy of the modelled target only at evidence distance E0"
Kd,E2,E2 (related receptor),exact_compound_related_receptor,binding_engagement_proxy,3,"engagement proxy derived from a binding constant (Kd/Ki) measured at evidence distance E1/E2 -- another species, or a related preparation: the same Hill expression, but it is NOT fractional receptor occupancy of the modelled target","equilibrium dissociation constant from a binding assay; C^n/(Kd^n+C^n) is physical fractional occupancy OF THE RECEPTOR IT WAS MEASURED ON, so it is an occupancy of the modelled target only at evidence distance E0"
Kd,E3,E3 (class extrapolation),class_extrapolation,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","equilibrium dissociation constant from a binding assay; C^n/(Kd^n+C^n) is physical fractional occupancy OF THE RECEPTOR IT WAS MEASURED ON, so it is an occupancy of the modelled target only at evidence distance E0"
Kd,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"equilibrium dissociation constant from a binding assay; C^n/(Kd^n+C^n) is physical fractional occupancy OF THE RECEPTOR IT WAS MEASURED ON, so it is an occupancy of the modelled target only at evidence distance E0"
Ki,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,binding_occupancy,4,"fractional occupancy of the binding site, from a Kd/Ki measured on this compound at this receptor in this species (evidence distance E0): a physical occupancy claim about the modelled receptor","inhibition constant from a competition binding assay; treated as a binding constant, with the same E0 condition as Kd before it may be called an occupancy here"
Ki,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,binding_engagement_proxy,3,"engagement proxy derived from a binding constant (Kd/Ki) measured at evidence distance E1/E2 -- another species, or a related preparation: the same Hill expression, but it is NOT fractional receptor occupancy of the modelled target","inhibition constant from a competition binding assay; treated as a binding constant, with the same E0 condition as Kd before it may be called an occupancy here"
Ki,E2,E2 (related receptor),exact_compound_related_receptor,binding_engagement_proxy,3,"engagement proxy derived from a binding constant (Kd/Ki) measured at evidence distance E1/E2 -- another species, or a related preparation: the same Hill expression, but it is NOT fractional receptor occupancy of the modelled target","inhibition constant from a competition binding assay; treated as a binding constant, with the same E0 condition as Kd before it may be called an occupancy here"
Ki,E3,E3 (class extrapolation),class_extrapolation,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","inhibition constant from a competition binding assay; treated as a binding constant, with the same E0 condition as Kd before it may be called an occupancy here"
Ki,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"inhibition constant from a competition binding assay; treated as a binding constant, with the same E0 condition as Kd before it may be called an occupancy here"
